stcc2,date,actual,pred_xgb,baseline_seasonal,baseline_persistence,n_train
01,2019-01-01,12.406089,12.053502082824707,12.756534,12.36375,192
01,2019-02-01,12.094069,11.636124610900879,11.911057,12.406089,193
01,2019-03-01,12.363436,13.385507583618164,13.974775,12.094069,194
01,2019-04-01,13.393206,12.132189750671387,13.488622,12.363436,195
01,2019-05-01,13.593393,13.847058296203613,14.035358,13.393206,196
01,2019-06-01,12.249996,13.623553276062012,13.801469,13.593393,197
01,2019-07-01,13.442989,12.027482986450195,13.763331,12.249996,198
01,2019-08-01,12.584753,13.697822570800781,13.594432,13.442989,199
01,2019-09-01,11.486011,12.271449089050293,11.795508,12.584753,200
01,2019-10-01,11.749689,12.208033561706543,12.476613,11.486011,201
01,2019-11-01,11.425724,12.29464340209961,12.053366,11.749689,202
01,2019-12-01,12.150167,12.410542488098145,12.36375,11.425724,203
01,2020-01-01,12.431358,12.242626190185547,12.406089,12.150167,204
01,2020-02-01,11.076253,12.070162773132324,12.094069,12.431358,205
01,2020-03-01,12.254348,11.286742210388184,12.363436,11.076253,206
01,2020-04-01,12.355483,13.111186981201172,13.393206,12.254348,207
01,2020-05-01,11.7003,13.040679931640625,13.593393,12.355483,208
01,2020-06-01,12.320421,12.354716300964355,12.249996,11.7003,209
01,2020-07-01,11.991874,12.688968658447266,13.442989,12.320421,210
01,2020-08-01,13.077336,12.530641555786133,12.584753,11.991874,211
01,2020-09-01,14.006333,12.618861198425293,11.486011,13.077336,212
01,2020-10-01,15.417711,13.855551719665527,11.749689,14.006333,213
01,2020-11-01,15.533555,14.851705551147461,11.425724,15.417711,214
01,2020-12-01,16.448156,14.754687309265137,12.150167,15.533555,215
01,2021-01-01,15.666411,14.755556106567383,12.431358,16.448156,216
01,2021-02-01,13.805644,15.14082145690918,11.076253,15.666411,217
01,2021-03-01,15.18013,13.538712501525879,12.254348,13.805644,218
01,2021-04-01,15.051755,14.610677719116211,12.355483,15.18013,219
01,2021-05-01,13.970791,14.080592155456543,11.7003,15.051755,220
01,2021-06-01,12.958248,13.669820785522461,12.320421,13.970791,221
01,2021-07-01,11.224877,13.692520141601562,11.991874,12.958248,222
01,2021-08-01,10.284999,12.683316230773926,13.077336,11.224877,223
01,2021-09-01,11.402234,9.674263000488281,14.006333,10.284999,224
01,2021-10-01,13.870368,12.813482284545898,15.417711,11.402234,225
01,2021-11-01,14.798094,14.038640022277832,15.533555,13.870368,226
01,2021-12-01,14.661486,14.825517654418945,16.448156,14.798094,227
01,2022-01-01,14.252086,14.84016227722168,15.666411,14.661486,228
01,2022-02-01,14.829195,13.717198371887207,13.805644,14.252086,229
01,2022-03-01,16.051091,14.908971786499023,15.18013,14.829195,230
01,2022-04-01,15.184929,15.478092193603516,15.051755,16.051091,231
01,2022-05-01,13.704484,14.70726490020752,13.970791,15.184929,232
01,2022-06-01,15.345494,13.635180473327637,12.958248,13.704484,233
01,2022-07-01,12.331282,14.126474380493164,11.224877,15.345494,234
01,2022-08-01,14.029895,12.366958618164062,10.284999,12.331282,235
01,2022-09-01,12.455922,13.343622207641602,11.402234,14.029895,236
01,2022-10-01,15.798393,12.595663070678711,13.870368,12.455922,237
01,2022-11-01,16.241131,15.357632637023926,14.798094,15.798393,238
01,2022-12-01,14.549405,15.364169120788574,14.661486,16.241131,239
01,2023-01-01,14.562047,14.554378509521484,14.252086,14.549405,240
01,2023-02-01,14.043685,14.977201461791992,14.829195,14.562047,241
01,2023-03-01,13.637861,14.546133041381836,16.051091,14.043685,242
01,2023-04-01,13.322688,14.445399284362793,15.184929,13.637861,243
01,2023-05-01,13.889077,12.994075775146484,13.704484,13.322688,244
01,2023-06-01,11.731189,13.865769386291504,15.345494,13.889077,245
01,2023-07-01,11.511642,12.041280746459961,12.331282,11.731189,246
01,2023-08-01,10.819565,12.606821060180664,14.029895,11.511642,247
01,2023-09-01,10.96151,10.950794219970703,12.455922,10.819565,248
01,2023-10-01,14.874925,12.68578815460205,15.798393,10.96151,249
01,2023-11-01,15.389682,14.546597480773926,16.241131,14.874925,250
01,2023-12-01,13.460298,15.433613777160645,14.549405,15.389682,251
01,2024-01-01,9.413813,14.380139350891113,14.562047,13.460298,252
01,2024-02-01,13.98595,8.245627403259277,14.043685,9.413813,253
01,2024-03-01,13.224345,12.759612083435059,13.637861,13.98595,254
01,2024-04-01,14.194287,13.15233039855957,13.322688,13.224345,255
01,2024-05-01,13.83071,13.493232727050781,13.889077,14.194287,256
01,2024-06-01,12.481434,13.101859092712402,11.731189,13.83071,257
01,2024-07-01,13.430089,11.734345436096191,11.511642,12.481434,258
01,2024-08-01,13.848711,12.130935668945312,10.819565,13.430089,259
01,2024-09-01,13.722914,12.699348449707031,10.96151,13.848711,260
01,2024-10-01,16.134249,14.62662410736084,14.874925,13.722914,261
01,2024-11-01,15.095786,15.940035820007324,15.389682,16.134249,262
01,2024-12-01,14.545434,14.26729965209961,13.460298,15.095786,263
10,2019-01-01,5.074264,4.878514289855957,4.655206,5.402965,192
10,2019-02-01,4.378534,4.888645648956299,4.812532,5.074264,193
10,2019-03-01,4.782007,5.253020763397217,5.563976,4.378534,194
10,2019-04-01,5.214735,5.24160623550415,5.613309,4.782007,195
10,2019-05-01,5.356911,5.303249835968018,5.078419,5.214735,196
10,2019-06-01,5.741935,5.4847588539123535,5.023391,5.356911,197
10,2019-07-01,5.956788,5.7212910652160645,6.066387,5.741935,198
10,2019-08-01,5.524396,5.321228981018066,5.561062,5.956788,199
10,2019-09-01,5.906678,5.533646583557129,5.143198,5.524396,200
10,2019-10-01,5.234235,5.711670875549316,5.832555,5.906678,201
10,2019-11-01,5.71285,5.290131568908691,5.413375,5.234235,202
10,2019-12-01,5.685513,5.33761739730835,5.402965,5.71285,203
10,2020-01-01,5.574858,4.810287952423096,5.074264,5.685513,204
10,2020-02-01,5.137794,4.938709259033203,4.378534,5.574858,205
10,2020-03-01,5.680114,5.250163555145264,4.782007,5.137794,206
10,2020-04-01,4.517872,5.488905906677246,5.214735,5.680114,207
10,2020-05-01,3.760039,5.366085052490234,5.356911,4.517872,208
10,2020-06-01,3.929958,4.261988639831543,5.741935,3.760039,209
10,2020-07-01,4.449249,3.9426987171173096,5.956788,3.929958,210
10,2020-08-01,4.979972,4.602722644805908,5.524396,4.449249,211
10,2020-09-01,5.747633,5.13025426864624,5.906678,4.979972,212
10,2020-10-01,5.315257,5.421595096588135,5.234235,5.747633,213
10,2020-11-01,5.27604,5.237648010253906,5.71285,5.315257,214
10,2020-12-01,5.429559,5.361554145812988,5.685513,5.27604,215
10,2021-01-01,5.17502,4.940234184265137,5.574858,5.429559,216
10,2021-02-01,4.158421,4.94038724899292,5.137794,5.17502,217
10,2021-03-01,5.578914,4.112982749938965,5.680114,4.158421,218
10,2021-04-01,5.701863,5.268443584442139,4.517872,5.578914,219
10,2021-05-01,5.498611,5.570599555969238,3.760039,5.701863,220
10,2021-06-01,5.968057,5.610638618469238,3.929958,5.498611,221
10,2021-07-01,6.400713,5.689086437225342,4.449249,5.968057,222
10,2021-08-01,6.042265,6.000628471374512,4.979972,6.400713,223
10,2021-09-01,6.294254,5.959540843963623,5.747633,6.042265,224
10,2021-10-01,6.0084,6.148750305175781,5.315257,6.294254,225
10,2021-11-01,6.106008,5.873444557189941,5.27604,6.0084,226
10,2021-12-01,4.952152,6.035881042480469,5.429559,6.106008,227
10,2022-01-01,5.020467,4.835289001464844,5.17502,4.952152,228
10,2022-02-01,4.522753,4.811959743499756,4.158421,5.020467,229
10,2022-03-01,5.114099,4.950962066650391,5.578914,4.522753,230
10,2022-04-01,5.052485,5.48769998550415,5.701863,5.114099,231
10,2022-05-01,5.092869,5.280053615570068,5.498611,5.052485,232
10,2022-06-01,5.304476,5.362282752990723,5.968057,5.092869,233
10,2022-07-01,5.322864,6.269219875335693,6.400713,5.304476,234
10,2022-08-01,5.826961,5.533326625823975,6.042265,5.322864,235
10,2022-09-01,6.219277,5.7728471755981445,6.294254,5.826961,236
